resolution,basecall_method,reads,mecA_TP,mecA_TN,mecA_FP,mecA_FN,pvl_TP,pvl_TN,pvl_FP,pvl_FN,mecA_sensitivity,mecA_specificity,pvl_sensitivity,pvl_specificity
10k,fast,1000,8,9,7,0,6,2,16,0,1,0.5625,1,0.111111111111111
10k,fast,2000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
10k,fast,3000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
10k,fast,4000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
10k,fast,5000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
10k,fast,6000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
10k,fast,7000,6,8,8,2,6,2,16,0,0.75,0.5,1,0.111111111111111
10k,fast,8000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
10k,hac,1000,8,10,6,0,6,2,16,0,1,0.625,1,0.111111111111111
10k,hac,2000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
10k,hac,3000,8,10,6,0,6,2,16,0,1,0.625,1,0.111111111111111
10k,hac,4000,8,10,6,0,6,2,16,0,1,0.625,1,0.111111111111111
10k,hac,5000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
10k,hac,6000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
10k,hac,7000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
10k,hac,8000,5,10,6,3,6,2,16,0,0.625,0.625,1,0.111111111111111
10k,sup,1000,7,11,5,1,6,2,16,0,0.875,0.6875,1,0.111111111111111
10k,sup,2000,8,9,7,0,6,2,16,0,1,0.5625,1,0.111111111111111
10k,sup,3000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
10k,sup,4000,7,9,7,1,6,2,16,0,0.875,0.5625,1,0.111111111111111
10k,sup,5000,7,9,7,1,6,2,16,0,0.875,0.5625,1,0.111111111111111
10k,sup,6000,7,10,6,1,6,2,16,0,0.875,0.625,1,0.111111111111111
10k,sup,7000,8,9,7,0,6,2,16,0,1,0.5625,1,0.111111111111111
10k,sup,8000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
1k,fast,1000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
1k,fast,2000,7,9,7,1,6,2,16,0,0.875,0.5625,1,0.111111111111111
1k,fast,3000,5,10,6,3,6,2,16,0,0.625,0.625,1,0.111111111111111
1k,fast,4000,4,9,7,4,6,2,16,0,0.5,0.5625,1,0.111111111111111
1k,fast,5000,6,11,5,2,6,2,16,0,0.75,0.6875,1,0.111111111111111
1k,fast,6000,6,11,5,2,6,2,16,0,0.75,0.6875,1,0.111111111111111
1k,fast,7000,4,11,5,4,6,2,16,0,0.5,0.6875,1,0.111111111111111
1k,fast,8000,4,10,6,4,6,2,16,0,0.5,0.625,1,0.111111111111111
1k,hac,1000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
1k,hac,2000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
1k,hac,3000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
1k,hac,4000,6,9,7,2,6,2,16,0,0.75,0.5625,1,0.111111111111111
1k,hac,5000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
1k,hac,6000,5,10,6,3,6,2,16,0,0.625,0.625,1,0.111111111111111
1k,hac,7000,5,11,5,3,6,2,16,0,0.625,0.6875,1,0.111111111111111
1k,hac,8000,5,10,6,3,6,2,16,0,0.625,0.625,1,0.111111111111111
1k,sup,1000,5,9,7,3,6,2,16,0,0.625,0.5625,1,0.111111111111111
1k,sup,2000,7,9,7,1,6,2,16,0,0.875,0.5625,1,0.111111111111111
1k,sup,3000,6,10,6,2,6,2,16,0,0.75,0.625,1,0.111111111111111
1k,sup,4000,8,10,6,0,6,2,16,0,1,0.625,1,0.111111111111111
1k,sup,5000,6,8,8,2,6,2,16,0,0.75,0.5,1,0.111111111111111
1k,sup,6000,5,10,6,3,6,2,16,0,0.625,0.625,1,0.111111111111111
1k,sup,7000,6,11,5,2,6,2,16,0,0.75,0.6875,1,0.111111111111111
1k,sup,8000,5,11,5,3,6,2,16,0,0.625,0.6875,1,0.111111111111111
