resolution,basecall_method,reads,n_correct,n_single,n_single_correct
10k,fast,1000,24,24,24
10k,fast,2000,24,24,24
10k,fast,3000,24,24,24
10k,fast,4000,24,24,24
10k,fast,5000,24,24,24
10k,fast,6000,24,24,24
10k,fast,7000,24,24,24
10k,fast,8000,24,24,24
10k,hac,1000,24,24,24
10k,hac,2000,24,24,24
10k,hac,3000,24,24,24
10k,hac,4000,24,24,24
10k,hac,5000,24,24,24
10k,hac,6000,24,24,24
10k,hac,7000,24,24,24
10k,hac,8000,24,24,24
10k,sup,1000,24,24,24
10k,sup,2000,24,24,24
10k,sup,3000,24,24,24
10k,sup,4000,24,24,24
10k,sup,5000,24,24,24
10k,sup,6000,24,24,24
10k,sup,7000,24,24,24
10k,sup,8000,24,24,24
1k,fast,1000,24,24,24
1k,fast,2000,24,24,24
1k,fast,3000,24,24,24
1k,fast,4000,24,24,24
1k,fast,5000,24,24,24
1k,fast,6000,24,24,24
1k,fast,7000,23,24,23
1k,fast,8000,22,24,22
1k,hac,1000,24,24,24
1k,hac,2000,24,24,24
1k,hac,3000,24,24,24
1k,hac,4000,24,24,24
1k,hac,5000,24,24,24
1k,hac,6000,24,24,24
1k,hac,7000,23,24,23
1k,hac,8000,24,24,24
1k,sup,1000,24,24,24
1k,sup,2000,24,24,24
1k,sup,3000,24,24,24
1k,sup,4000,24,24,24
1k,sup,5000,24,24,24
1k,sup,6000,24,24,24
1k,sup,7000,24,24,24
1k,sup,8000,24,24,24
