n_reads,n_snps,search_type,n_correct_INFERRED,n_single,n_single_correct_INFERRED
1000,7,random,44,121,0
2000,7,random,70,95,0
3000,7,random,90,75,0
4000,7,random,105,60,0
5000,7,random,126,39,0
6000,7,random,134,31,0
7000,7,random,142,23,0
8000,7,random,145,20,0
1000,13,random,70,96,1
2000,13,random,102,65,3
3000,13,random,125,42,3
4000,13,random,140,30,6
5000,13,random,154,19,9
6000,13,random,157,16,9
7000,13,random,159,15,10
8000,13,random,160,17,13
1000,18,random,77,92,4
2000,18,random,113,58,7
3000,18,random,135,36,7
4000,18,random,147,28,11
5000,18,random,160,19,15
6000,18,random,162,18,16
7000,18,random,162,21,19
8000,18,random,162,23,21
1000,23,random,96,73,4
2000,23,random,138,33,7
3000,23,random,151,20,7
4000,23,random,157,18,11
5000,23,random,162,17,15
6000,23,random,164,16,16
7000,23,random,164,19,19
8000,23,random,163,22,21
1000,27,random,108,61,4
2000,27,random,145,26,7
3000,27,random,156,15,7
4000,27,random,162,13,11
5000,27,random,164,16,16
6000,27,random,164,18,18
7000,27,random,164,20,20
8000,27,random,163,23,22
1000,100,random,127,32,7
2000,100,random,127,36,16
3000,100,random,132,38,23
4000,100,random,135,39,29
5000,100,random,129,51,39
6000,100,random,133,48,40
7000,100,random,132,55,49
8000,100,random,132,58,52
1000,200,random,126,38,12
2000,200,random,127,46,24
3000,200,random,137,47,32
4000,200,random,135,59,45
5000,200,random,133,65,52
6000,200,random,136,64,54
7000,200,random,133,79,66
8000,200,random,132,85,69
1000,300,random,136,36,19
2000,300,random,132,67,45
3000,300,random,143,77,62
4000,300,random,145,85,73
5000,300,random,147,94,83
6000,300,random,144,107,93
7000,300,random,146,111,100
8000,300,random,148,116,106
1000,400,random,141,41,31
2000,400,random,141,72,59
3000,400,random,146,94,78
4000,400,random,146,103,87
5000,400,random,149,114,102
6000,400,random,153,122,111
7000,400,random,154,125,116
8000,400,random,156,131,124
1000,1,minsnps,32,131,0
2000,1,minsnps,68,90,0
3000,1,minsnps,93,64,0
4000,1,minsnps,100,50,0
5000,1,minsnps,108,40,0
6000,1,minsnps,121,26,0
7000,1,minsnps,124,26,2
8000,1,minsnps,132,17,3
1000,2,minsnps,64,100,1
2000,2,minsnps,105,57,2
3000,2,minsnps,129,33,3
4000,2,minsnps,137,22,5
5000,2,minsnps,141,19,7
6000,2,minsnps,145,19,10
7000,2,minsnps,149,22,15
8000,2,minsnps,152,24,21
1000,3,minsnps,82,82,2
2000,3,minsnps,122,42,2
3000,3,minsnps,142,27,8
4000,3,minsnps,151,20,11
5000,3,minsnps,155,30,26
6000,3,minsnps,156,35,33
7000,3,minsnps,158,50,47
8000,3,minsnps,158,66,64
1000,4,minsnps,97,65,2
2000,4,minsnps,136,29,4
3000,4,minsnps,150,24,13
4000,4,minsnps,156,24,20
5000,4,minsnps,158,47,44
6000,4,minsnps,158,57,55
7000,4,minsnps,160,79,75
8000,4,minsnps,160,93,90
1000,5,minsnps,106,56,2
2000,5,minsnps,141,25,5
3000,5,minsnps,152,26,17
4000,5,minsnps,155,32,28
5000,5,minsnps,158,57,53
6000,5,minsnps,161,69,68
7000,5,minsnps,163,93,92
8000,5,minsnps,162,109,107
1000,30,minsnps,144,45,33
2000,30,minsnps,156,90,84
3000,30,minsnps,159,128,122
4000,30,minsnps,162,144,141
5000,30,minsnps,163,159,157
6000,30,minsnps,164,160,159
7000,30,minsnps,164,162,161
8000,30,minsnps,164,162,161
1000,79,minsnps,152,96,91
2000,79,minsnps,159,145,141
3000,79,minsnps,163,155,154
4000,79,minsnps,161,159,155
5000,79,minsnps,163,160,158
6000,79,minsnps,163,161,159
7000,79,minsnps,163,162,160
8000,79,minsnps,163,161,160
1000,147,minsnps,157,126,121
2000,147,minsnps,162,152,150
3000,147,minsnps,163,159,158
4000,147,minsnps,163,160,158
5000,147,minsnps,163,161,159
6000,147,minsnps,163,161,159
7000,147,minsnps,163,162,160
8000,147,minsnps,163,161,160
1000,200,minsnps,160,135,132
2000,200,minsnps,163,158,156
3000,200,minsnps,164,159,158
4000,200,minsnps,164,159,158
5000,200,minsnps,163,161,159
6000,200,minsnps,163,161,159
7000,200,minsnps,163,162,160
8000,200,minsnps,163,162,160
